image_path,label,folder_name,frame_index,video_path
faces_data\celebreal_id0_0000_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0000.mp4
faces_data\celebreal_id0_0000_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0000.mp4
faces_data\celebreal_id0_0000_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0000.mp4
faces_data\celebreal_id0_0000_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0000.mp4
faces_data\celebreal_id0_0000_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0000.mp4
faces_data\celebreal_id0_0001_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0001.mp4
faces_data\celebreal_id0_0001_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0001.mp4
faces_data\celebreal_id0_0001_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0001.mp4
faces_data\celebreal_id0_0001_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0001.mp4
faces_data\celebreal_id0_0001_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0001.mp4
faces_data\celebreal_id0_0002_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0002.mp4
faces_data\celebreal_id0_0002_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0002.mp4
faces_data\celebreal_id0_0002_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0002.mp4
faces_data\celebreal_id0_0002_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0002.mp4
faces_data\celebreal_id0_0002_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0002.mp4
faces_data\celebreal_id0_0003_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0003.mp4
faces_data\celebreal_id0_0003_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0003.mp4
faces_data\celebreal_id0_0003_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0003.mp4
faces_data\celebreal_id0_0003_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0003.mp4
faces_data\celebreal_id0_0003_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0003.mp4
faces_data\celebreal_id0_0004_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0004.mp4
faces_data\celebreal_id0_0004_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0004.mp4
faces_data\celebreal_id0_0004_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0004.mp4
faces_data\celebreal_id0_0004_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0004.mp4
faces_data\celebreal_id0_0004_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0004.mp4
faces_data\celebreal_id0_0005_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0005.mp4
faces_data\celebreal_id0_0005_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0005.mp4
faces_data\celebreal_id0_0005_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0005.mp4
faces_data\celebreal_id0_0005_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0005.mp4
faces_data\celebreal_id0_0005_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0005.mp4
faces_data\celebreal_id0_0006_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0006.mp4
faces_data\celebreal_id0_0006_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0006.mp4
faces_data\celebreal_id0_0006_2.jpg,0,celebreal,2,data\archive (3)\Celeb-real\id0_0006.mp4
faces_data\celebreal_id0_0006_3.jpg,0,celebreal,3,data\archive (3)\Celeb-real\id0_0006.mp4
faces_data\celebreal_id0_0006_4.jpg,0,celebreal,4,data\archive (3)\Celeb-real\id0_0006.mp4
faces_data\celebreal_id0_0007_0.jpg,0,celebreal,0,data\archive (3)\Celeb-real\id0_0007.mp4
faces_data\celebreal_id0_0007_1.jpg,0,celebreal,1,data\archive (3)\Celeb-real\id0_0007.mp4
